Stud No,Class test1,Assign,Lab,Exam,Exam,Final
917780,35.5,100,11.0,59.0,29.7,64
1060475,33.5,80,31.0,47.5,36.2,66
990287,28.0,100,29.0,56.5,38.7,70
1017571,41.5,100,36.0,72.5,49.0,86
931020,39.0,100,30.0,67.5,43.7,79
927110,30.0,80,19.0,61.0,35.0,63
1079923,34.5,50,22.0,66.0,38.6,62
1040918,22.5,65,7.0,36.5,18.5,40
1055924,34.5,100,27.0,63.0,40.2,75
929923,34.5,50,10.0,54.0,27.2,51
928020,35.5,100,20.0,52.5,32.1,66
957785,20.0,50,18.0,49.0,29.6,50
997234,23.0,60,3.0,37.0,16.5,38
1056292,29.0,60,10.0,72.5,34.6,58
1071736,32.0,100,32.0,56.0,40.2,73
1082827,45.5,100,35.0,88.0,54.6,93
954186,27.0,100,27.0,43.5,32.4,63
1048823,34.0,75,0.0,41.0,16.4,45
900987,32.5,95,24.0,63.5,38.7,71
1085354,36.5,80,17.0,61.0,33.8,64
1041589,33.0,85,22.0,73.5,41.6,72
1083413,33.0,90,16.0,47.5,27.9,60
1005971,36.5,100,34.0,59.5,42.7,77
1056032,38.0,70,29.0,71.0,44.5,75
1052742,30.0,100,28.0,51.5,36.2,68
1075617,25.5,85,19.0,64.5,36.4,64
1047585,14.0,65,15.0,38.0,23.5,42
906672,21.5,80,18.0,35.5,24.2,50
1078553,19.0,80,21.0,40.0,27.7,51
1054107,22.0,90,14.0,40.5,24.0,51
1041146,27.0,55,18.0,42.5,27.0,50
971539,23.5,40,10.0,46.0,24.0,41
969397,26.0,50,35.0,62.0,44.2,65
980041,24.0,80,17.0,48.5,28.8,54
1012586,23.0,95,34.0,62.5,43.9,72
912551,32.0,70,17.0,56.5,32.0,60
955900,19.5,35,12.0,35.0,20.7,35
1060101,20.0,75,11.0,46.5,24.7,50
1012029,21.0,80,15.0,43.5,25.7,50
1091472,33.0,70,5.0,58.0,26.0,53
1095624,26.0,80,23.0,56.0,35.2,62
1025925,34.5,100,38.0,69.0,48.7,82
1045665,32.5,90,19.0,63.5,36.0,67
944555,33.5,50,9.0,52.0,25.8,50
967020,36.0,70,0.0,54.0,21.6,50
943674,33.0,70,17.0,60.0,33.4,61
929044,24.0,100,13.5,37.5,22.5,52
1083707,32.5,80,26.0,62.5,39.4,68
998507,16.5,0,3.0,25.5,11.9,18
991225,16.5,0,13.0,35.5,21.4,28
1046999,24.5,90,16.0,55.0,30.9,60
1045007,23.0,55,12.0,41.0,23.1,43
934841,23.0,90,17.0,51.0,29.8,57
993828,19.0,90,23.0,51.0,33.2,60
1025483,28.5,50,15.0,61.5,32.9,54
916241,30.5,90,20.0,68.0,38.3,70
1051266,16.0,80,26.0,48.5,33.8,56
1025196,36.5,60,19.0,31.0,23.0,50
934486,31.5,100,18.0,50.0,30.0,63
1096060,30.0,95,31.0,48.5,36.6,68
964716,27.5,100,19.0,51.0,31.0,62
1099969,16.0,0,7.0,45.5,22.1,28
1080673,30.5,100,22.0,70.0,40.2,72
998540,14.0,20,14.0,56.0,30.2,40
1097532,18.5,80,18.0,60.5,34.2,58
973931,38.0,100,28.0,62.5,40.6,76
1083510,28.0,70,16.0,53.5,30.3,55
975690,23.5,100,12.0,59.0,30.3,60
945303,24.0,50,17.0,57.5,32.4,52
1023266,40.0,80,27.0,60.5,39.2,71
1064870,32.0,90,18.0,52.0,30.8,62
1016275,0.0,0,11.0,0.0,6.1,6
984980,17.5,45,13.0,37.0,22.0,38
1036988,13.0,50,6.0,28.5,14.7,30
913368,17.0,60,21.0,49.5,31.5,50
1061278,21.0,55,17.0,51.5,30.0,50
1023193,25.5,80,31.0,54.5,39.0,65
933508,42.5,100,38.0,87.5,56.1,93
968069,13.5,35,10.0,23.0,14.8,27
971410,20.0,60,22.0,58.5,35.6,56
1045516,24.5,80,31.0,57.0,40.0,66
1012994,26.0,100,25.0,42.5,30.9,61
964144,31.5,80,22.0,38.5,27.6,56
918774,26.5,70,23.0,0.0,12.8,37
1018236,31.5,40,0.0,0.0,0.0,21
955597,25.0,50,16.0,37.5,23.9,44
1003155,26.5,100,11.0,51.5,26.7,57
924834,31.0,95,19.0,69.0,38.2,70
919178,15.0,90,12.2,34.0,20.4,44
955568,26.5,80,16.0,75.5,39.1,66
1081902,41.5,100,36.0,88.0,55.2,92
915621,25.5,75,15.0,37.0,23.1,50
1054464,16.0,65,26.0,38.5,29.8,50
958388,29.5,65,20.0,53.0,32.3,57
968103,32.5,90,30.0,47.5,35.7,67
1022261,34.5,100,25.0,63.0,39.1,73
920511,34.5,100,22.0,56.0,34.6,68
981145,17.0,0,0.0,0.0,9.5,16
